编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,抗菌药门诊可用,抗菌药需会诊审批,抗菌药允许紧急使用,抗菌药门诊疗程上限,需要皮试,皮试方式,皮试液配置方式,皮试观察分钟,皮试结果有效小时,皮试配置说明,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-T186-04,三金片,SJP,CHINESE_PATENT,TABLET,每片重 0.32g（相当于饮片 3.5g）,片,0.32,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T187-01,银花泌炎灵片,YHMYLP,CHINESE_PATENT,TABLET,每片重 0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T187-02,银花泌炎灵片,YHMYLP,CHINESE_PATENT,TABLET,每片重 0.5g,片,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T188-01,癃闭舒胶囊（片）,LBSJNP,CHINESE_PATENT,CAPSULE,每粒装 0.3g,粒,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T188-02,癃闭舒胶囊（片）,LBSJNP,CHINESE_PATENT,CAPSULE,每粒装 0.45g,粒,0.45,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T188-03,癃闭舒胶囊（片）,LBSJNP,CHINESE_PATENT,TABLET,每片重 0.3g,片,0.3,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T188-04,癃闭舒胶囊（片）,LBSJNP,CHINESE_PATENT,TABLET,每片重 0.31g,片,0.31,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T189,海昆肾喜胶囊,HKSXJN,CHINESE_PATENT,CAPSULE,每粒装 0.22g（含褐藻多糖硫酸酯 100mg）,粒,0.22,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T190,尿通卡克乃其片,NTKKNQP,CHINESE_PATENT,TABLET,每片重 0.5g,片,0.5,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T191-01,尪痹颗粒（胶囊、片）,WBKLJNP,CHINESE_PATENT,GRANULE,每袋装 3g,袋,3,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T191-02,尪痹颗粒（胶囊、片）,WBKLJNP,CHINESE_PATENT,GRANULE,每袋装 6g,袋,6,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-T191-03,尪痹颗粒（胶囊、片）,WBKLJNP,CHINESE_PATENT,CAPSULE,每粒 0.55g,粒,0.55,g,ROOM_TEMPERATURE,是,是,否,,否,否,否,,否,,,,,,,,ORAL,TID,否,是,ACTIVE
