编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,抗菌药门诊可用,抗菌药需会诊审批,抗菌药允许紧急使用,抗菌药门诊疗程上限,需要皮试,皮试方式,皮试液配置方式,皮试观察分钟,皮试结果有效小时,皮试配置说明,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-W001-01,青霉素钾注射用无菌粉末,Benzylpenicillin,WESTERN,INJECTION,0.25g（40 万单位）,支,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W001-02,青霉素钾注射用无菌粉末,Benzylpenicillin,WESTERN,INJECTION,0.5g（80 万单位）,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W001-03,青霉素钠注射用无菌粉末,Benzylpenicillin,WESTERN,INJECTION,0.24g（40 万单位）,支,0.24,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W001-04,青霉素钠注射用无菌粉末,Benzylpenicillin,WESTERN,INJECTION,0.48g（80 万单位）,支,0.48,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W001-05,青霉素钠注射用无菌粉末,Benzylpenicillin,WESTERN,INJECTION,0.96g（160 万单位）,支,0.96,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W001-06,青霉素钠注射用无菌粉末,Benzylpenicillin,WESTERN,INJECTION,2.4g（400 万单位）,支,2.4,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W002-01,苄星青霉素注射用无菌粉末,Benzathine Benzylpenicillin,WESTERN,INJECTION,60 万单位,支,60,万单位,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W002-02,苄星青霉素注射用无菌粉末,Benzathine Benzylpenicillin,WESTERN,INJECTION,120万单位,支,120,万单位,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W003-01,苯唑西林片,Oxacillin,WESTERN,TABLET,0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,ORAL,TID,否,是,ACTIVE
MED-2026-W003-02,苯唑西林胶囊,Oxacillin,WESTERN,CAPSULE,0.25g,粒,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,ORAL,TID,否,是,ACTIVE
MED-2026-W003-03,苯唑西林注射用无菌粉末,Oxacillin,WESTERN,INJECTION,0.5g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W003-04,苯唑西林注射用无菌粉末,Oxacillin,WESTERN,INJECTION,1.0g,支,1.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W003-05,苯唑西林注射用无菌粉末,Oxacillin,WESTERN,INJECTION,2.0g,支,2.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W004-01,氨苄西林注射用无菌粉末,Ampicillin,WESTERN,INJECTION,0.5g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W004-02,氨苄西林注射用无菌粉末,Ampicillin,WESTERN,INJECTION,1.0g,支,1.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W004-03,氨苄西林注射用无菌粉末,Ampicillin,WESTERN,INJECTION,2.0g,支,2.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W005-01,哌拉西林注射用无菌粉末,Piperacillin,WESTERN,INJECTION,0.5g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W005-02,哌拉西林注射用无菌粉末,Piperacillin,WESTERN,INJECTION,1.0g,支,1.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W005-03,哌拉西林注射用无菌粉末,Piperacillin,WESTERN,INJECTION,2.0g,支,2.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W005-04,哌拉西林注射用无菌粉末,Piperacillin,WESTERN,INJECTION,4.0g,支,4.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W006-01,阿莫西林片,Amoxicillin,WESTERN,TABLET,0.125g,片,0.125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W006-02,阿莫西林片,Amoxicillin,WESTERN,TABLET,0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W006-03,阿莫西林胶囊,Amoxicillin,WESTERN,CAPSULE,0.125g,粒,0.125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W006-04,阿莫西林胶囊,Amoxicillin,WESTERN,CAPSULE,0.25g,粒,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W006-05,阿莫西林颗粒,Amoxicillin,WESTERN,GRANULE,0.125g,袋,0.125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,QD,否,是,ACTIVE
MED-2026-W006-06,阿莫西林颗粒,Amoxicillin,WESTERN,GRANULE,0.25g,袋,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,QD,否,是,ACTIVE
MED-2026-W006-07,阿莫西林干混悬剂,Amoxicillin,WESTERN,ORAL_LIQUID,0.125g,瓶,0.125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,QD,否,是,ACTIVE
MED-2026-W006-08,阿莫西林干混悬剂,Amoxicillin,WESTERN,ORAL_LIQUID,0.25g,瓶,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,QD,否,是,ACTIVE
MED-2026-W007-01,阿莫西林克拉维酸钾片,Amoxicillin and Clavulanate Potassium,WESTERN,TABLET,阿莫西林∶克拉维酸=2:1,片,,,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,ORAL,TID,否,是,ACTIVE
MED-2026-W007-02,阿莫西林克拉维酸钾片,Amoxicillin and Clavulanate Potassium,WESTERN,TABLET,4:1,片,,,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,ORAL,TID,否,是,ACTIVE
MED-2026-W007-03,阿莫西林克拉维酸钾片,Amoxicillin and Clavulanate Potassium,WESTERN,TABLET,7:1,片,,,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,ORAL,TID,否,是,ACTIVE
MED-2026-W007-04,阿莫西林克拉维酸钾颗粒,Amoxicillin and Clavulanate Potassium,WESTERN,GRANULE,125mg∶31.25mg,袋,125,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,ORAL,QD,否,是,ACTIVE
MED-2026-W007-05,阿莫西林克拉维酸钾颗粒,Amoxicillin and Clavulanate Potassium,WESTERN,GRANULE,200mg∶28.5mg（7:1）,袋,200,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,ORAL,QD,否,是,ACTIVE
MED-2026-W007-06,阿莫西林克拉维酸钾干混悬剂,Amoxicillin and Clavulanate Potassium,WESTERN,ORAL_LIQUID,250mg∶62.5mg,瓶,250,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,ORAL,QD,否,是,ACTIVE
MED-2026-W007-07,阿莫西林克拉维酸钾干混悬剂,Amoxicillin and Clavulanate Potassium,WESTERN,ORAL_LIQUID,200mg∶28.5mg（7:1）,瓶,200,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,ORAL,QD,否,是,ACTIVE
MED-2026-W007-08,阿莫西林克拉维酸钾注射用无菌粉末,Amoxicillin and Clavulanate Potassium,WESTERN,INJECTION,250mg∶50mg,支,250,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W007-09,阿莫西林克拉维酸钾注射用无菌粉末,Amoxicillin and Clavulanate Potassium,WESTERN,INJECTION,500mg∶100mg,支,500,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W007-10,阿莫西林克拉维酸钾注射用无菌粉末,Amoxicillin and Clavulanate Potassium,WESTERN,INJECTION,1000mg∶200mg（5:1）,支,1000,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W008-01,哌拉西林钠他唑巴坦钠注射用无菌粉末,Piperacillin Sodium and Tazobactam Sodium,WESTERN,INJECTION,2.25g（哌拉西林 2.0g 与他唑巴坦 0.25g）,支,2.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W008-02,哌拉西林钠他唑巴坦钠注射用无菌粉末,Piperacillin Sodium and Tazobactam Sodium,WESTERN,INJECTION,4.5g（哌拉西林 4.0g 与他唑巴坦 0.5g）,支,4.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,DILUTED_SOLUTION,20,24,需配制标准皮试稀释液（青霉素500 U/ml），皮内注射0.1ml，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W009-01,头孢唑林注射用无菌粉末,Cefazolin,WESTERN,INJECTION,0.5g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W009-02,头孢唑林注射用无菌粉末,Cefazolin,WESTERN,INJECTION,1.0g,支,1.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W010-01,头孢拉定胶囊,Cefradine,WESTERN,CAPSULE,0.25g,粒,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W010-02,头孢拉定胶囊,Cefradine,WESTERN,CAPSULE,0.5g,粒,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W011-01,头孢氨苄片,Cefalexin,WESTERN,TABLET,0.125g,片,0.125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W011-02,头孢氨苄片,Cefalexin,WESTERN,TABLET,0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W011-03,头孢氨苄胶囊,Cefalexin,WESTERN,CAPSULE,0.125g,粒,0.125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W011-04,头孢氨苄胶囊,Cefalexin,WESTERN,CAPSULE,0.25g,粒,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W011-05,头孢氨苄颗粒,Cefalexin,WESTERN,GRANULE,0.05g,袋,0.05,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,QD,否,是,ACTIVE
MED-2026-W011-06,头孢氨苄颗粒,Cefalexin,WESTERN,GRANULE,0.125g,袋,0.125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,QD,否,是,ACTIVE
MED-2026-W012-01,头孢呋辛片,Cefuroxime,WESTERN,TABLET,0.125g,片,0.125,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W012-02,头孢呋辛片,Cefuroxime,WESTERN,TABLET,0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W012-03,头孢呋辛分散片,Cefuroxime,WESTERN,TABLET,0.125g,片,0.125,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W012-04,头孢呋辛分散片,Cefuroxime,WESTERN,TABLET,0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W012-05,头孢呋辛胶囊,Cefuroxime,WESTERN,CAPSULE,0.125g,粒,0.125,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W012-06,头孢呋辛胶囊,Cefuroxime,WESTERN,CAPSULE,0.25g,粒,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W012-07,头孢呋辛干混悬剂,Cefuroxime,WESTERN,ORAL_LIQUID,0.125g,瓶,0.125,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,否,,,,,,,,ORAL,QD,否,是,ACTIVE
MED-2026-W012-08,头孢呋辛干混悬剂,Cefuroxime,WESTERN,ORAL_LIQUID,0.25g,瓶,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,否,,,,,,,,ORAL,QD,否,是,ACTIVE
MED-2026-W012-09,头孢呋辛钠注射用无菌粉末,Cefuroxime,WESTERN,INJECTION,0.25g,支,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W012-10,头孢呋辛钠注射用无菌粉末,Cefuroxime,WESTERN,INJECTION,0.5g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W012-11,头孢呋辛钠注射用无菌粉末,Cefuroxime,WESTERN,INJECTION,0.75g,支,0.75,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W012-12,头孢呋辛钠注射用无菌粉末,Cefuroxime,WESTERN,INJECTION,1.5g,支,1.5,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W013-01,头孢克肟片,Cefixime,WESTERN,TABLET,50mg,片,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W013-02,头孢克肟片,Cefixime,WESTERN,TABLET,100mg,片,100,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W013-03,头孢克肟分散片,Cefixime,WESTERN,TABLET,100mg,片,100,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W013-04,头孢克肟胶囊,Cefixime,WESTERN,CAPSULE,100mg,粒,100,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W013-05,头孢克肟颗粒,Cefixime,WESTERN,GRANULE,50mg,袋,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,QD,否,是,ACTIVE
MED-2026-W013-06,头孢克肟干混悬剂,Cefixime,WESTERN,ORAL_LIQUID,50mg,瓶,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,QD,否,是,ACTIVE
MED-2026-W013-07,头孢克肟干混悬剂,Cefixime,WESTERN,ORAL_LIQUID,100mg,瓶,100,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,QD,否,是,ACTIVE
MED-2026-W014-01,头孢曲松注射用无菌粉末,Ceftriaxone,WESTERN,INJECTION,0.25g,支,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W014-02,头孢曲松注射用无菌粉末,Ceftriaxone,WESTERN,INJECTION,0.5g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W014-03,头孢曲松注射用无菌粉末,Ceftriaxone,WESTERN,INJECTION,1.0g,支,1.0,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W014-04,头孢曲松注射用无菌粉末,Ceftriaxone,WESTERN,INJECTION,2.0g,支,2.0,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W015-01,头孢他啶注射用无菌粉末,Ceftazidime,WESTERN,INJECTION,0.25g,支,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W015-02,头孢他啶注射用无菌粉末,Ceftazidime,WESTERN,INJECTION,0.5g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W015-03,头孢他啶注射用无菌粉末,Ceftazidime,WESTERN,INJECTION,1.0g,支,1.0,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W015-04,头孢他啶注射用无菌粉末,Ceftazidime,WESTERN,INJECTION,2.0g,支,2.0,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,是,是,7,是,INTRADERMAL,ORIGINAL_SOLUTION,20,24,使用本次处方原药按院内规程完成皮试，观察20分钟，阴性结果24小时有效。,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W016-01,阿米卡星注射液,Amikacin,WESTERN,INJECTION,1ml ∶0.1g（10 万单位）,支,1,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,IM,QD,否,是,ACTIVE
MED-2026-W016-02,阿米卡星注射液,Amikacin,WESTERN,INJECTION,2ml ∶0.2g（20 万单位）,支,2,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,IM,QD,否,是,ACTIVE
MED-2026-W017-01,庆大霉素注射液,Gentamycin,WESTERN,INJECTION,1ml ∶40mg（4 万单位）,支,1,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,IM,QD,否,是,ACTIVE
MED-2026-W017-02,庆大霉素注射液,Gentamycin,WESTERN,INJECTION,2ml ∶80mg（8 万单位）,支,2,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,IM,QD,否,是,ACTIVE
MED-2026-W018-01,多西环素片,Doxycycline,WESTERN,TABLET,50mg,片,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
MED-2026-W018-02,多西环素片,Doxycycline,WESTERN,TABLET,100mg,片,100,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,否,是,7,否,,,,,,,,ORAL,TID,否,是,ACTIVE
