编码,名称,别名,药品类型,剂型,制剂规格,制剂单位,含量数值,含量单位,储藏方式,处方药,基本药物,抗菌药,抗菌药等级,需要皮试,默认剂量,默认剂量单位,默认给药途径,默认频次,慢病用药,允许单开,状态
MED-2026-W001-01,青霉素（注射用无菌粉末）,Benzylpenicillin,WESTERN,INJECTION,（钾盐）注射用无菌粉末：0.25g（40 万单位）、0.5g（80 万单位）,支,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W001-02,青霉素（注射用无菌粉末）,Benzylpenicillin,WESTERN,INJECTION,（钠盐）注射用无菌粉末：0.24g（40 万单位）、0.48g（80 万单位）、 0.96g（ 160 万单位）、2.4g（400 万单位）,支,0.24,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W002,苄星青霉素注射用无菌粉末,Benzathine Benzylpenicillin,WESTERN,INJECTION,60 万单位、120万单位,支,60,万单位,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W003-01,苯唑西林（片剂）,Oxacillin,WESTERN,TABLET,片剂、胶囊：0.25g,片,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,ORAL,TID,否,是,ACTIVE
MED-2026-W003-02,苯唑西林（注射用无菌粉末）,Oxacillin,WESTERN,INJECTION,0.5g、1.0g、2.0g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W004,氨苄西林注射用无菌粉末,Ampicillin,WESTERN,INJECTION,0.5g、1.0g、2.0g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W005,哌拉西林注射用无菌粉末,Piperacillin,WESTERN,INJECTION,0.5g、1.0g、2.0g、 4.0g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W006,阿莫西林片剂,Amoxicillin,WESTERN,TABLET,片剂、胶囊、颗粒剂、干混悬剂： 0.125g 、0.25g,片,0.125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W007-01,阿莫西林克拉维酸钾（片剂）,"Amoxicillin and
Clavulanate Potassium",WESTERN,TABLET,阿莫西林∶克拉维酸=2∶1、 4 ∶1 、7 ∶1,片,,,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,ORAL,TID,否,是,ACTIVE
MED-2026-W007-02,阿莫西林克拉维酸钾（颗粒剂）,"Amoxicillin and
Clavulanate Potassium",WESTERN,GRANULE,125mg∶31.25mg（ 4 ∶1 ）、 200mg∶28.5mg（ 7 ∶1 ）（阿莫西林∶克拉维酸）,袋,125,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,ORAL,QD,否,是,ACTIVE
MED-2026-W007-03,阿莫西林克拉维酸钾（干混悬剂）,"Amoxicillin and
Clavulanate Potassium",WESTERN,ORAL_LIQUID,250mg∶62.5mg（4∶1 ）、 200mg∶28.5mg（ 7 ∶1 ）（阿莫西林∶克拉维酸）,瓶,250,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,ORAL,QD,否,是,ACTIVE
MED-2026-W007-04,阿莫西林克拉维酸钾（注射用无菌粉末）,"Amoxicillin and
Clavulanate Potassium",WESTERN,INJECTION,250mg∶50mg（ 5 ∶1 ）、500mg∶100mg（ 5 ∶1 ）、 1000mg∶200mg（ 5 ∶1 ）（阿莫西林∶克拉维酸）,支,250,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W008,哌拉西林钠他唑巴坦钠注射用无菌粉末,Piperacillin Sodium and Tazobactam Sodium,WESTERN,INJECTION,2.25g（哌拉西林 2.0g 与他唑巴坦 0.25g）、4.5g（哌拉西林 4.0g 与他唑巴坦 0.5g）,支,2.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W009,头孢唑林注射用无菌粉末,Cefazolin,WESTERN,INJECTION,0.5g 、1.0g,支,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W010,头孢拉定胶囊,Cefradine,WESTERN,CAPSULE,0.25g 、0.5g,粒,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W011-01,头孢氨苄（片剂）,Cefalexin,WESTERN,TABLET,片剂、胶囊：0. 125g 、0.25g,片,125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W011-02,头孢氨苄（颗粒剂）,Cefalexin,WESTERN,GRANULE,0.05g 、0. 125g,袋,0.05,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W012-01,头孢呋辛（片剂）,Cefuroxime,WESTERN,TABLET,（头孢呋辛酯）片剂、分散片、胶囊、干混悬剂：0. 125g 、0.25g,片,125,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W012-02,头孢呋辛（注射用无菌粉末）,Cefuroxime,WESTERN,INJECTION,（钠盐）注射用无菌粉末：0.25g、 0.5g 、0.75g 、1.5g,支,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W013-01,头孢克肟（片剂）,Cefixime,WESTERN,TABLET,50mg 、100mg,片,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W013-02,头孢克肟（分散片）,Cefixime,WESTERN,TABLET,100mg,片,100,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W013-03,头孢克肟（胶囊）,Cefixime,WESTERN,CAPSULE,100mg,粒,100,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W013-04,头孢克肟（颗粒剂）,Cefixime,WESTERN,GRANULE,50mg,袋,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W013-05,头孢克肟（干混悬剂）,Cefixime,WESTERN,ORAL_LIQUID,50mg 、100mg,瓶,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W014,头孢曲松注射用无菌粉末,Ceftriaxone,WESTERN,INJECTION,0.25g、0.5g、1.0g、 2.0g,支,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W015,头孢他啶注射用无菌粉末,Ceftazidime,WESTERN,INJECTION,0.25g、0.5g、1.0g、 2.0g,支,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,是,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W016,阿米卡星注射液,Amikacin,WESTERN,INJECTION,1ml ∶0. 1g（ 10 万单位）、 2ml ∶0.2g（20 万单位）,支,1,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IM,QD,否,是,ACTIVE
MED-2026-W017,庆大霉素注射液,Gentamycin,WESTERN,INJECTION,1ml ∶40mg（4 万单位）、 2ml ∶80mg（8 万单位）,支,1,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IM,QD,否,是,ACTIVE
MED-2026-W018,多西环素片剂,Doxycycline,WESTERN,TABLET,50mg 、100mg,片,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W019-01,米诺环素（片剂）,Minocycline,WESTERN,TABLET,50mg,片,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W019-02,米诺环素（胶囊）,Minocycline,WESTERN,CAPSULE,50mg 、100mg,粒,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W020-01,红霉素（片剂）,Erythromycin,WESTERN,TABLET,肠溶（片剂、胶囊）、（琥珀酸乙酯）片剂、（琥珀酸乙酯）胶囊： 0. 125g（ 12.5 万单位）、0.25g（ 25万单位）,片,125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W020-02,红霉素（注射用无菌粉末）,Erythromycin,WESTERN,INJECTION,0.25g（25 万单位）、0.3g（30 万单位）、0.5g（ 50万单位）,支,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W021-01,阿奇霉素（片剂）,Azithromycin,WESTERN,TABLET,片剂、胶囊：0.25g（25 万单位）,片,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W021-02,阿奇霉素（颗粒剂）,Azithromycin,WESTERN,GRANULE,颗粒剂、干混悬剂：0. 1g（ 10 万单位）,袋,1,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W021-03,阿奇霉素（注射用无菌粉末）,Azithromycin,WESTERN,INJECTION,0.5g（ 50 万单位）,支,0.5,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,否,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W022,克拉霉素片剂,Clarithromycin,WESTERN,TABLET,片剂、颗粒剂： 0. 125g（ 12.5 万单位）、0.25g（25 万单位）,片,125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W023-01,克林霉素（胶囊）,Clindamycin,WESTERN,CAPSULE,（盐酸盐）胶囊：0.075g 、0. 15g,粒,0.075,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W023-02,克林霉素（颗粒剂）,Clindamycin,WESTERN,GRANULE,（盐酸盐棕榈酸酯）颗粒剂：75mg,袋,75,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W023-03,克林霉素（注射液）,Clindamycin,WESTERN,INJECTION,（磷酸酯）注射液： 1ml ∶150mg、 2ml ∶300mg 、4ml ∶600mg、 6ml ∶900mg,支,1,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IM,QD,否,是,ACTIVE
MED-2026-W024-01,磷霉素（注射用无菌粉末）,Fosfomycin,WESTERN,INJECTION,（钠盐）注射用无菌粉末： 1.0g（ 100 万单位）、2.0g（200 万单位）、 4.0g（400 万单位）,支,1.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W024-02,磷霉素（散剂）,Fosfomycin,WESTERN,POWDER,（氨丁三醇）散剂：3.0g（300 万单位）,袋,3.0,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W025,夫西地酸注射用无菌粉末,Fusidic Acid,WESTERN,INJECTION,0. 125g 、0.25g、 0.5g,支,125,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W026-01,复方磺胺甲噁（ 恶）唑（片剂）,"Compound
Sulfamethoxazole",WESTERN,TABLET,400mg∶80mg,片,400,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W026-02,复方磺胺甲噁（ 恶）唑（注射液）,"Compound
Sulfamethoxazole",WESTERN,INJECTION,5ml ∶400mg∶80mg［磺胺甲噁（ 恶 ）唑∶甲氧苄啶］,支,5,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IM,QD,否,是,ACTIVE
MED-2026-W027-01,磺胺嘧啶（片剂）,Sulfadiazine,WESTERN,TABLET,0.5g,片,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W027-02,磺胺嘧啶（注射液）,Sulfadiazine,WESTERN,INJECTION,2ml ∶0.4g 、5ml ∶1g,支,2,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IM,QD,否,是,ACTIVE
MED-2026-W028,诺氟沙星片剂,Norfloxacin,WESTERN,TABLET,片剂、胶囊：0. 1g,片,1,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W029,环丙沙星片剂,Ciprofloxacin,WESTERN,TABLET,（盐酸盐）片剂：0.25g 、0.5g （乳酸盐）氯化钠注射液：100ml ∶0.2g,片,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W030-01,左氧氟沙星（片剂）,Levofloxacin,WESTERN,TABLET,0.25g 、0.5g,片,0.25,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W030-02,左氧氟沙星（氯化钠注射液）,Levofloxacin,WESTERN,INJECTION,50ml ∶0.25g、 100ml ∶0.5g,支,50,ml,ROOM_TEMPERATURE,是,是,是,RESTRICTED,否,,,IM,QD,否,是,ACTIVE
MED-2026-W031-01,莫西沙星（片剂）,Moxifloxacin,WESTERN,TABLET,0.4g,片,0.4,g,ROOM_TEMPERATURE,是,是,是,RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W031-02,莫西沙星（氯化钠注射液）,Moxifloxacin,WESTERN,INJECTION,250ml（莫西沙星0.4g 与氯化钠 2.0g）,支,250,ml,ROOM_TEMPERATURE,是,是,是,RESTRICTED,否,,,IM,QD,否,是,ACTIVE
MED-2026-W032-01,甲硝唑（片剂）,Metronidazole,WESTERN,TABLET,片剂、胶囊：0.2g,片,0.2,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W032-02,甲硝唑（氯化钠注射液）,Metronidazole,WESTERN,INJECTION,100ml ∶0.5g,支,100,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IM,QD,否,是,ACTIVE
MED-2026-W033,替硝唑片剂,Tinidazole,WESTERN,TABLET,0.5g,片,0.5,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W034,呋喃妥因肠溶片,Nitrofurantoin,WESTERN,TABLET,50mg,片,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W035,结核病用药,JHBYY,WESTERN,TABLET,以说明书为准,片,,,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W036,氨苯砜片剂,Dapsone,WESTERN,TABLET,50mg 、100mg,片,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W037-01,氟康唑（片剂）,Fluconazole,WESTERN,TABLET,片剂、胶囊：50mg、100mg、150mg,片,50,mg,ROOM_TEMPERATURE,是,是,是,RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W037-02,氟康唑（氯化钠注射液）,Fluconazole,WESTERN,INJECTION,100ml ∶0.2g,支,100,ml,ROOM_TEMPERATURE,是,是,是,RESTRICTED,否,,,IM,QD,否,是,ACTIVE
MED-2026-W038-01,伊曲康唑（分散片）,Itraconazole,WESTERN,TABLET,0. 1g,片,1,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W038-02,伊曲康唑（颗粒剂）,Itraconazole,WESTERN,GRANULE,0. 1g,袋,1,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W038-03,伊曲康唑（胶囊）,Itraconazole,WESTERN,CAPSULE,0. 1g,粒,1,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W038-04,伊曲康唑（口服溶液剂）,Itraconazole,WESTERN,ORAL_LIQUID,150ml ∶1.5g,瓶,150,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W039,两性霉素注射用无菌粉末,"B
Amphotericin B",WESTERN,INJECTION,5mg（5000 单 位）、25mg（2.5 万单位）、50mg 注射用脂质体：50mg（5 万单位）,支,5,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W040,卡泊芬净注射用无菌粉末,Caspofungin,WESTERN,INJECTION,50mg 、70mg,支,50,mg,ROOM_TEMPERATURE,是,是,是,SPECIAL,否,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W041,小檗碱片剂,Berberine,WESTERN,TABLET,50mg 、100mg,片,50,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W042-01,阿昔洛韦（片剂）,Aciclovir,WESTERN,TABLET,0. 1g 、0.2g,片,1,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W042-02,阿昔洛韦（胶囊）,Aciclovir,WESTERN,CAPSULE,0.2g,粒,0.2,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W042-03,阿昔洛韦（注射用无菌粉末）,Aciclovir,WESTERN,INJECTION,0.25g,支,0.25,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W043,更昔洛韦注射用无菌粉末,Ganciclovir,WESTERN,INJECTION,0.05g 、0. 15g、 0.25g 、0.5g,支,0.05,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,IVGTT,QD,否,是,ACTIVE
MED-2026-W044-01,奥司他韦（胶囊）,Oseltamivir,WESTERN,CAPSULE,30mg 、45mg 、75mg,粒,30,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W044-02,奥司他韦（颗粒剂）,Oseltamivir,WESTERN,GRANULE,15mg 、25mg,袋,15,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W044-03,奥司他韦（干混悬剂）,Oseltamivir,WESTERN,ORAL_LIQUID,0.36g,瓶,0.36,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W045-01,恩替卡韦（片剂）,Entecavir,WESTERN,TABLET,片剂、分散片：0.5mg 、1mg,片,0.5,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W045-02,恩替卡韦（胶囊）,Entecavir,WESTERN,CAPSULE,0.5mg,粒,0.5,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W045-03,恩替卡韦（口服溶液剂）,Entecavir,WESTERN,ORAL_LIQUID,210ml ∶10.5mg,瓶,210,ml,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,QD,否,是,ACTIVE
MED-2026-W046,利巴韦林片剂,Ribavirin,WESTERN,TABLET,片剂、胶囊：0. 1g,片,1,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W047,索磷布韦维帕他韦片剂,Sofosbuvir and Velpatasvir,WESTERN,TABLET,每片含 400mg 索磷布韦和100mg 维帕他韦,片,400,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W048,替诺福韦二吡呋酯片剂,Tenofovir Disoproxil,WESTERN,TABLET,片剂、胶囊：0.3g,片,0.3,g,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W049,丙酚替诺福韦片剂,TenofovirAlafenamide,WESTERN,TABLET,25mg,片,25,mg,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W050,人干扰素人干扰素α1b注射液,Human Interferon,WESTERN,INJECTION,10μg∶0.5ml、 30μg∶1ml注射用人干扰素α1b ∶10μg 、30μg人干扰素α2a 注射液、注射用人干扰素α2a ∶300 万 IU 、500 万 IU人干扰素α2b 注射液、注射用人干扰素α2b ∶300 万 IU 、500 万 IU,支,10,μg,REFRIGERATED,是,是,是,NON_RESTRICTED,否,,,IM,QD,否,是,ACTIVE
MED-2026-W051,艾滋病用药,AZBYY,WESTERN,TABLET,以说明书为准,片,,,ROOM_TEMPERATURE,是,是,是,NON_RESTRICTED,否,,,ORAL,TID,否,是,ACTIVE
MED-2026-W052-01,氯喹（片剂）,Chloroquine,WESTERN,TABLET,250mg,片,250,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W052-02,氯喹（注射液）,Chloroquine,WESTERN,INJECTION,5ml ∶322mg,支,5,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W053,羟氯喹片剂,Hydroxychloroquine,WESTERN,TABLET,0. 1g 、0.2g,片,1,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W054,伯氨喹片剂,Primaquine,WESTERN,TABLET,13.2mg,片,13.2,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W055,乙胺嘧啶片剂,Pyrimethamine,WESTERN,TABLET,6.25mg,片,6.25,mg,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W056,青蒿素类药物,QHSLYW,WESTERN,TABLET,以说明书为准,片,,,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W057,葡萄糖酸锑钠注射液,Sodium Stibogluconate,WESTERN,INJECTION,6ml（按锑计 0.6g，约相当于葡萄糖酸锑钠 1.9g）,支,6,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W058,吡喹酮片剂,Praziquantel,WESTERN,TABLET,0.2g,片,0.2,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W059,阿苯达唑片剂,Albendazole,WESTERN,TABLET,片剂、胶囊：0. 1g 、0.2g,片,1,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W060-01,利多卡因（注射液）,Lidocaine,WESTERN,INJECTION,（碳酸盐）注射液：5ml ∶86.5mg、 10ml ∶0.173g,支,5,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W060-02,利多卡因（注射液）,Lidocaine,WESTERN,INJECTION,（盐酸盐）注射液：2ml ∶4mg、 5ml ∶0.1g 、10ml ∶0.2g,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W060-03,利多卡因（凝胶剂）,Lidocaine,WESTERN,CREAM,2%,支,,,ROOM_TEMPERATURE,是,是,否,,否,,,TOPICAL,BID,否,是,ACTIVE
MED-2026-W060-04,利多卡因（胶浆剂）,Lidocaine,WESTERN,OTHER,10g∶0.2g,盒,10,g,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
MED-2026-W061,布比卡因注射液,Bupivacaine,WESTERN,INJECTION,5ml ∶25mg 、5ml ∶37.5mg、 10ml ∶75mg,支,5,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W062,罗哌卡因注射液,Ropivacaine,WESTERN,INJECTION,（盐酸盐）注射液： 10ml ∶75mg、 10ml ∶100mg,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W063-01,丁卡因（注射用无菌粉末）,Tetracaine,WESTERN,INJECTION,10mg 、25mg、 50mg,支,10,mg,ROOM_TEMPERATURE,是,是,否,,否,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W063-02,丁卡因（凝胶剂）,Tetracaine,WESTERN,CREAM,1.5g∶70mg,支,1.5,g,ROOM_TEMPERATURE,是,是,否,,否,,,TOPICAL,BID,否,是,ACTIVE
MED-2026-W064,氯胺酮注射液,Ketamine,WESTERN,INJECTION,2ml ∶0. 1g 、10ml ∶0. 1g,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W065,丙泊酚乳状注射液,Propofol,WESTERN,INJECTION,10ml ∶0. 1g、 20ml ∶0.2g 、50ml ∶0.5g 、50ml ∶1g,支,10,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W066,瑞芬太尼注射用无菌粉末,Remifentanil,WESTERN,INJECTION,1mg、2mg、5mg,支,1,mg,ROOM_TEMPERATURE,是,是,否,,否,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W067,七氟烷吸入溶液剂,Sevoflurane,WESTERN,AEROSOL,100ml、120ml、250ml,瓶,100,ml,ROOM_TEMPERATURE,是,是,否,,否,,,NEB,BID,否,是,ACTIVE
MED-2026-W068,罗库溴铵注射液,Rocuronium Bromide,WESTERN,INJECTION,2.5ml ∶25mg 、5ml ∶50mg,支,2.5,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W069,氯化琥珀胆碱注射液,Suxamethonium Chloride,WESTERN,INJECTION,1ml ∶50mg 、2ml ∶100mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W070,维库溴铵注射用无菌粉末,Vecuronium Bromide,WESTERN,INJECTION,4mg,支,4,mg,ROOM_TEMPERATURE,是,是,否,,否,,,IVGTT,BID,否,是,ACTIVE
MED-2026-W071,芬太尼注射液,Fentanyl,WESTERN,INJECTION,2ml ∶0. 1mg贴剂,支,2,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W072,哌替啶注射液,Pethidine,WESTERN,INJECTION,1ml ∶50mg 、2ml ∶100mg,支,1,ml,ROOM_TEMPERATURE,是,是,否,,否,,,IM,BID,否,是,ACTIVE
MED-2026-W073,吗啡片剂,Morphine,WESTERN,TABLET,片剂、缓释片、口服溶液剂、注射液,片,,,ROOM_TEMPERATURE,是,是,否,,否,,,ORAL,BID,否,是,ACTIVE
