标准品种ID,旧目录编码,名称,英文名称,药品类型,条目类型,原文规格,专科指导,来源位置,来源版本,审核状态
GEN-836AF5783FB1FA939B0084A6,MED-2026-W192,哌唑嗪,Prazosin,WESTERN,MEDICATION,片剂： 1mg 、2mg,False,table:32/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-DB29AB13747AE104CCCD7F56,MED-2026-W193,波生坦,Bosentan,WESTERN,MEDICATION,"片剂： 125mg
分散片：32mg",True,table:32/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-1E13471803C7F39D4C5B454B,MED-2026-W194,肾上腺素,Epinephrine,WESTERN,MEDICATION,注射液： 1ml ∶1mg,False,table:32/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-2C0B4CAAEEFA566EC1B763B1,MED-2026-W195,去甲肾上腺素,Norepinephrine,WESTERN,MEDICATION,注射液： 1ml ∶2mg 、2ml ∶10mg、 4ml ∶8mg,False,table:32/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-8E6337F18C0AEA8496DECD5F,MED-2026-W196,异丙肾上腺素,Isoprenaline,WESTERN,MEDICATION,注射液：2ml ∶1mg,False,table:32/row:9,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-8A3162406FBA3510B91BCC95,MED-2026-W197,间羟胺,Metaraminol,WESTERN,MEDICATION,注射液： 1ml ∶10mg 、5ml ∶50mg,False,table:32/row:10,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-C15CF1314EDC4589830C60AE,MED-2026-W198,多巴胺,Dopamine,WESTERN,MEDICATION,注射液：2ml ∶20mg 、2.5ml ∶50mg、 5ml ∶100mg 、5ml ∶200mg,False,table:32/row:11,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-EA921DBE0561139BD3980E61,MED-2026-W199,多巴酚丁胺,Dobutamine,WESTERN,MEDICATION,注射液：2ml ∶20mg 、5ml ∶100mg,False,table:33/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-DFE15D2DE07F7BC3A26067B5,MED-2026-W200,辛伐他汀,Simvastatin,WESTERN,MEDICATION,片剂： 10mg 、20mg,False,table:33/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-BAE6C360F1B9C138BCAF646D,MED-2026-W201,阿托伐他汀,Atorvastatin,WESTERN,MEDICATION,片剂： 10mg 、20mg,False,table:33/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-01363C509A2A1801DFE89D7B,MED-2026-W202,瑞舒伐他汀,Rosuvastatin,WESTERN,MEDICATION,片剂、胶囊：5mg 、10mg 、20mg,False,table:33/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-75D50C1E5F31E42942E9245D,MED-2026-W203,非诺贝特,Fenofibrate,WESTERN,MEDICATION,"片剂、分散片：0. 1g
胶囊：0. 1g 、0.2g",False,table:33/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-E4E70C5FB30F26659EB3D80A,MED-2026-W204,依折麦布,Ezetimibe,WESTERN,MEDICATION,片剂： 10mg,False,table:33/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-3B1C4E76FE512B18C7520AE4,MED-2026-W205,溴己新,Bromhexine,WESTERN,MEDICATION,"片剂：8mg
口服溶液剂：40ml ∶80mg
注射液：2ml ∶4mg",False,table:34/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-EC69E72D3F9AF0B99315608F,MED-2026-W206,氨溴索,Ambroxol,WESTERN,MEDICATION,"片剂、分散片、胶囊：30mg
口服溶液剂：0.3% 、0.6%
吸入用溶液：2ml ∶15mg
注射液：2ml ∶15mg",False,table:35/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-B3DF9951EE6ED1862BBD196D,MED-2026-W207,桉柠蒎,"Eucalyptol, Limonene and Pinene",WESTERN,MEDICATION,肠溶胶囊：0. 12g 、0.3g,False,table:35/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-49DCE4DEE547515B3E62E454,MED-2026-W208,羧甲司坦,Carbocysteine,WESTERN,MEDICATION,"片剂：0. 1g 、0.25g
口服溶液剂：10ml ∶0.2g、10ml ∶0.5g",False,table:35/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-D2BD9E04A0EF9DE146FC3F21,MED-2026-W209,乙酰半胱氨酸,Acetylcysteine,WESTERN,MEDICATION,"颗粒剂：0. 1g 、0.2g
泡腾片：0.6g
吸入用溶液：3ml ∶0.3g",False,table:35/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-2265489EB8A1007FD1B18943,MED-2026-W210,复方甘草,Compound Liquorice,WESTERN,MEDICATION,片剂、口服溶液剂,False,table:35/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-18AC7F95B83BA23AFF649A64,MED-2026-W211,喷托维林,Pentoxyverine,WESTERN,MEDICATION,片剂：25mg,False,table:35/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-464C6E26479C82128FED6483,MED-2026-W212,可待因,Codeine,WESTERN,MEDICATION,片剂： 15mg 、30mg,True,table:35/row:9,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-20B3A8F3E0F1E2D81C00555C,MED-2026-W213,右美沙芬,Dextromethorphan,WESTERN,MEDICATION,"片剂： 15mg
颗粒剂： 15mg
口服溶液剂： 10ml ∶15mg",True,table:36/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-55A38CC6EC3F3415E0CEDE13,MED-2026-W214,复方甲氧那明,Compound Methoxyphenamine Hydrochloride,WESTERN,MEDICATION,胶囊：每粒含盐酸甲氧那明12.5mg、那可丁 7mg、氨茶碱 25mg、马来酸氯苯那敏 2mg,False,table:36/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-23686B28D91A334E1F28E327,MED-2026-W215,氨茶碱,Aminophylline,WESTERN,MEDICATION,"片剂：0. 1g 、0.2g
缓释片：0. 1g
注射液：2ml ∶0.25g 、2ml ∶0.5g、 10ml ∶0.25g",False,table:36/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-CE9BA6DBAB202696B925C926,MED-2026-W216,茶碱,Theophylline,WESTERN,MEDICATION,缓释片：0. 1g,False,table:36/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-F2762F4FA8756D1BB2590E5E,MED-2026-W217,沙丁胺醇,Salbutamol,WESTERN,MEDICATION,"吸入气雾剂：200 揿：每揿 100μg、
200 揿：每揿 140μg
吸入用溶液：2.5ml ∶5mg",False,table:36/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-5E4DA9ED9E2111E63A3C3845,MED-2026-W218,异丙托溴铵,Ipratropium Bromide,WESTERN,MEDICATION,"气雾剂： 14g∶8.4mg
吸入用溶液：2ml ∶0.5mg",False,table:36/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-589CC38C70C69CD53C4AB5D7,MED-2026-W219,噻托溴铵,Tiotropium Bromide,WESTERN,MEDICATION,吸入粉雾剂： 18μg,False,table:36/row:9,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-70E48CA8B7C46A82F3A300AC,MED-2026-W220,孟鲁司特,Montelukast,WESTERN,MEDICATION,"片剂： 10mg
咀嚼片：4mg 、5mg
颗粒剂：4mg
口溶膜：4mg 、5mg",False,table:37/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-FC5E3B5205B16BBD093D698A,MED-2026-W221,丙酸氟替卡松,Fluticasone Propionate,WESTERN,MEDICATION,"吸入气雾剂：50μg/ 揿、 125μg/ 揿
雾化吸入用混悬液：2ml ∶0.5mg",False,table:37/row:3;table:84/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-0355D166535B0F41421AA8B7,MED-2026-W222,布地奈德,Budesonide,WESTERN,MEDICATION,"吸入气雾剂：每瓶 100 揿，每揿含布地奈德 200μg；每瓶 200 揿，每揿含布地奈德 100μg
吸入粉雾剂：0. 1mg/ 吸；0.2mg； 200μg/ 吸，200 吸/ 支
雾化吸入用混悬液：2ml ∶1mg",False,table:37/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-8F4542F3B9355492B2B6C997,MED-2026-W223,布地奈德福莫特罗,Budesonide and Formoterol,WESTERN,MEDICATION,"吸入粉雾剂：80μg/4.5μg/吸、
160μg/4.5μg/ 吸、320μg/9μg/ 吸",False,table:37/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-267622E7229A240E9E6FD122,MED-2026-W224,茚达特罗格隆溴铵,Indacaterol and Glycopyrronium,WESTERN,MEDICATION,吸入粉雾剂： 110μg/50μg/ 粒,False,table:37/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-EFB68156B94931EABA3DC826,MED-2026-W225,布地格福,"Budesonide, Glycopyrronium and Formoterol",WESTERN,MEDICATION,吸入气雾剂：每瓶 120 揿，每揿含布地奈德 160μg、格隆铵 7.2μg 和富马酸福莫特罗 4.8μg,False,table:37/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-1F745D2F50DF3D11E3B7B9C9,MED-2026-W226,汉防己甲素,Tetrandrine,WESTERN,MEDICATION,"片剂：20mg
注射液：2ml ∶30mg",True,table:38/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-99250E7CE013BE1231764060,MED-2026-W227,尼达尼布,Nintedanib,WESTERN,MEDICATION,软胶囊： 100mg 、150mg,True,table:38/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-4B33C25B0B08B5A93CABD034,MED-2026-W228,复方氢氧化铝,Compound Aluminium Hydroxide,WESTERN,MEDICATION,片剂,False,table:39/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-CEF6CC33E3B35CD0DCBF5874,MED-2026-W229,雷尼替丁,Ranitidine,WESTERN,MEDICATION,"片剂、胶囊：0. 15g
注射液：2ml ∶50mg",False,table:39/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-C302C1413600A963F176B807,MED-2026-W230,法莫替丁,Famotidine,WESTERN,MEDICATION,"片剂、胶囊：20mg
注射液：2ml ∶20mg
注射用无菌粉末：20mg",False,table:39/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-6911CD83952C5C0D4EBF0448,MED-2026-W231,奥美拉唑,Omeprazole,WESTERN,MEDICATION,"肠溶（片剂、胶囊）：10mg、20mg
注射用无菌粉末：40mg",False,table:39/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-0E1DD86CE060FE62F1529D5C,MED-2026-W232,艾司奥美拉唑,Esomeprazole,WESTERN,MEDICATION,"肠溶（片剂、胶囊）：20mg
肠溶干混悬剂： 10mg 、20mg、 40mg
注射用无菌粉末：40mg",False,table:40/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-5895A283237DAB893D09D467,MED-2026-W233,雷贝拉唑,Rabeprazole,WESTERN,MEDICATION,肠溶片： 10mg 、20mg,False,table:40/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-3DB3713A37CFFBA4B44E4EC2,MED-2026-W234,枸橼酸铋钾,Bismuth Potassium Citrate,WESTERN,MEDICATION,"片剂、胶囊：0.3g（含 0. 11g 铋）
颗粒剂：每袋含 0.11g 铋",False,table:40/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-EAEB4A326B53381369378689,MED-2026-W235,胶体果胶铋,Colloidal Bismuth Pectin,WESTERN,MEDICATION,"胶囊：50mg 、100mg（以铋计）
颗粒剂： 150mg（以铋计）",False,table:40/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-E51DBD8C5D632C70C2E49C62,MED-2026-W236,铝碳酸镁,Hydrotalcite,WESTERN,MEDICATION,咀嚼片：0.5g,False,table:40/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-B1CC07694B52228DE3C67E16,MED-2026-W237,乳酶生,Lactasin,WESTERN,MEDICATION,片剂：0. 15g 、0.3g,False,table:40/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-1FD95764CADFD95D88929A1C,MED-2026-W238,胰酶,Pancreatin,WESTERN,MEDICATION,"肠溶片：300mg
肠溶胶囊： 150mg",False,table:40/row:9,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-7C3A40542A1E4DA1E6F8A2C3,MED-2026-W239,山莨菪碱,Anisodamine,WESTERN,MEDICATION,"片剂（含消旋）：5mg 、10mg
注射液（含消旋）： 1ml ∶2mg、 1ml ∶10mg",False,table:40/row:11,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-642A7F53DC1C27AA96E7846A,MED-2026-W240,阿托品,Atropine,WESTERN,MEDICATION,"片剂：0.3mg
注射液： 1ml ∶0.5mg 、1ml ∶1mg、 1ml ∶5mg 、2ml ∶1mg",False,table:41/row:2;table:82/row:11,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-BC8E545B644173EC412AE341,MED-2026-W241,多潘立酮,Domperidone,WESTERN,MEDICATION,片剂： 10mg,False,table:41/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-38349BBCD06CC913CF1C3455,MED-2026-W242,甲氧氯普胺,Metoclopramide,WESTERN,MEDICATION,"片剂：5mg
注射液： 1ml ∶10mg 、2ml ∶10mg",False,table:41/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-ED26B599E65E7B6EBDDEA069,MED-2026-W243,莫沙必利,Mosapride,WESTERN,MEDICATION,片剂：5mg,False,table:41/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-C8949911FD61C0FFBA2190ED,MED-2026-W244,匹维溴铵,Pinaverium Bromide,WESTERN,MEDICATION,片剂：50mg,False,table:41/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-8634B19D758D74F43633BE40,MED-2026-W245,昂丹司琼,Ondansetron,WESTERN,MEDICATION,"片剂：4mg 、8mg
注射液：2ml ∶4mg 、4ml ∶8mg",False,table:41/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-5AF69D50BD9712B21DCDE0E8,MED-2026-W246,开塞露,Enema,WESTERN,MEDICATION,灌肠剂（含甘油、山梨醇）,False,table:41/row:10,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-B9D882DA5B2DE662CDEE3A97,MED-2026-W247,乳果糖,Lactulose,WESTERN,MEDICATION,"口服溶液剂： 15ml ∶10g、
100ml ∶66.7g 、200ml ∶133.4g",False,table:41/row:11,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-3C54A9B6D9217848F61634CA,MED-2026-W248,洛哌丁胺,Loperamide,WESTERN,MEDICATION,胶囊：2mg,False,table:41/row:12,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-EC10E79D2B4E3E53FC6842D4,MED-2026-W249,蒙脱石,Montmorillonite,WESTERN,MEDICATION,散剂：3g,False,table:42/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-02A7717D645ED44B4A08EAF4,MED-2026-W250,聚乙二醇,Macrogol,WESTERN,MEDICATION,散剂,False,table:42/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-3F6916E62477789CE3AF88CB,MED-2026-W251,精氨酸,Arginine,WESTERN,MEDICATION,注射液：20ml ∶5g,False,table:42/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-66EFA02B3A098040A42F9467,MED-2026-W252,联苯双酯,Bifendate,WESTERN,MEDICATION,"片剂：25mg
滴丸剂： 1.5mg",False,table:42/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-7EA3332B3D63A659033E7DD5,MED-2026-W253,甘草酸二铵,Diammonium Glycyrrhizinate,WESTERN,MEDICATION,胶囊：50mg,False,table:42/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-01266E8BFAC0757B3E8932CB,MED-2026-W254,水飞蓟素,Silymarin,WESTERN,MEDICATION,"片剂：70mg
胶囊： 140mg",False,table:42/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-830E4DED142EAB567838591D,MED-2026-W255,多烯磷脂酰胆碱,Polyene Phosphatidylcholine,WESTERN,MEDICATION,"胶囊：228mg
注射液：5ml ∶232.5mg",True,table:42/row:9,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-A06B4DCE3AA5082FACD4D33E,MED-2026-W256,地衣芽孢杆菌活菌,"Bacillus Licheniformis, Live",WESTERN,MEDICATION,"胶囊：0.25g
颗粒剂：0.5g",False,table:42/row:11,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-947ADBC27F938EBB72865480,MED-2026-W257,枯草杆菌二联活菌,Live Combined Bacillus Subtilis and Enterociccus Faecium,WESTERN,MEDICATION,肠溶胶囊：250mg,False,table:43/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-8220C6480B43A614E245CEC8,MED-2026-W258,双歧杆菌三联活菌,Bifid Triple Viable,WESTERN,MEDICATION,胶囊、肠溶胶囊：0.21g,False,table:43/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-DD20E41C119533ACE38D8A64,MED-2026-W259,双歧杆菌四联活菌,"Combined Bifidobacterium, Lactobacillus, Enterococcus and Bacillus Cereus, Live",WESTERN,MEDICATION,片剂：0.5g,False,table:43/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-DE225E0740D6CD065C75856F,MED-2026-W260,熊去氧胆酸,UrsodeoxycholicAcid,WESTERN,MEDICATION,"片剂：50mg 、250mg
胶囊：250mg
混悬液：250ml ∶12.5g",False,table:43/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-54DB75960CB425186D459A51,MED-2026-W261,柳氮磺吡啶,Sulfasalazine,WESTERN,MEDICATION,"肠溶片：0.25g
栓剂：0.5g",False,table:43/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-5523F6E9754CD0B33B682273,MED-2026-W262,呋塞米,Furosemide,WESTERN,MEDICATION,"片剂：20mg
注射液：2ml ∶20mg",False,table:44/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-FBCB192389E7980DAEEBDC83,MED-2026-W263,托拉塞米,Torasemide,WESTERN,MEDICATION,"片剂：5mg 、10mg 、20mg
注射液：2ml ∶10mg 、4ml ∶20mg",False,table:44/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-8DE4C544F8897770427BD332,MED-2026-W264,氢氯噻嗪,Hydrochlorothiazide,WESTERN,MEDICATION,片剂：6.25mg 、10mg 、25mg,False,table:44/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-30B9AC6648C031AEA6BBBBC7,MED-2026-W265,螺内酯,Spironolactone,WESTERN,MEDICATION,片剂： 12mg 、20mg,False,table:44/row:6,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-D53B2602B78711DFAFE8970D,MED-2026-W266,氨苯蝶啶,Triamterene,WESTERN,MEDICATION,片剂：50mg,False,table:44/row:7,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-C1387BB06E81BA78332052C7,MED-2026-W267,非奈利酮,Finerenone,WESTERN,MEDICATION,片剂： 10mg,False,table:44/row:8,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-68A18E1A4193020B5BA5A66F,MED-2026-W268,甘油果糖,Glycerol Fructose,WESTERN,MEDICATION,氯化钠注射液：250ml 、500ml,False,table:44/row:9,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-9D7A02FA66DBA12395A73685,MED-2026-W269,坦洛新(坦索罗辛),Tamsulosin,WESTERN,MEDICATION,缓释胶囊：0.2mg,False,table:44/row:11,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-9819879562F207B463B921C4,MED-2026-W270,特拉唑嗪,Terazosin,WESTERN,MEDICATION,片剂、胶囊：2mg,False,table:45/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-98C5B67E53DAC76CAF0A7EBB,MED-2026-W271,非那雄胺,Finasteride,WESTERN,MEDICATION,片剂、胶囊：5mg,False,table:45/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-837685ED9A64CC3F7DAB8A2E,MED-2026-W272,腹膜透析液,Peritoneal Dialysis Solution,WESTERN,MEDICATION,注射液（腹腔用药）,False,table:45/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-D7BD784FD9CD5B6E5E500AB7,MED-2026-W273,硫酸亚铁,Ferrous Sulfate,WESTERN,MEDICATION,"片剂：0.3g
缓释片：0.45g",False,table:46/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-C509988C4D7D18090ABE6020,MED-2026-W274,右旋糖酐铁,Iron Dextran,WESTERN,MEDICATION,"口服溶液剂：5ml ∶25mg（Fe ）、 10ml ∶50mg（Fe）
注射液：2ml ∶50mg（Fe ）、 2ml ∶100mg（Fe）",False,table:46/row:4,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-3BF41CAE35ED0950AC746B4C,MED-2026-W275,琥珀酸亚铁,Ferrous Succinate,WESTERN,MEDICATION,片剂：0. 1g,False,table:46/row:5,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-4A1D205CC839FD61A362BB52,MED-2026-W276,维生素B12,Vitamin B12,WESTERN,MEDICATION,注射液： 1ml ∶0.25mg 、1ml ∶0.5mg,False,table:47/row:2,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
GEN-307F0977E2D3281F2E03F74E,MED-2026-W277,叶酸,Folic Acid,WESTERN,MEDICATION,片剂：0.4mg 、5mg,False,table:47/row:3,93dce79a72c7593ab5ebb1d0996ab24b4be801f56dc1c4e6697df14b55ea39a2,SOURCE_UNVERIFIED
